Type,Price/m,Bedrooms,Location,Area,URL
Flat,K5200,2,,Lusaka | chalala,https://sakilahomes.com/post/2324/2-bedroom--chalala--k5200/
bedsitter,K2000,1,,Lusaka | kaunda_square,https://sakilahomes.com/post/2325/bedsitter--kaunda-square--k2000/
Flat,K8000,2,,Lusaka | lilayi,https://sakilahomes.com/post/2326/2-bedroom--lilayi--k8000/
Flat,K10000,3,,Lusaka | chalala,https://sakilahomes.com/post/2327/3-bedroom--chalala--k10000/
Flat,K6500,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2328/2-bedroom-ibex-hill--k6500/
Flat,K7000,3,,Lusaka | makeni,https://sakilahomes.com/post/2329/3-bedroom--makeni--k7000/
Office_Space,K12000,3,,Lusaka | olympia,https://sakilahomes.com/post/2331/office-space--olympia---k12000/
Flat,K9000,3,,Lusaka | silverest,https://sakilahomes.com/post/2332/3-bedroom--silverest-k9000/
Flat,K6000,3,,Lusaka | lilayi,https://sakilahomes.com/post/2265/3-bedroom--lilayi--k6000/
boarding_house,K2000,1,,Lusaka | silverest,https://sakilahomes.com/post/2266/boarding-house--silverest--k2000/
Flat,K4800,2,,Lusaka | chalala,https://sakilahomes.com/post/2267/2-bedroom--chalala--k4800/
Flat,K7000,2,,Lusaka | makeni,https://sakilahomes.com/post/2268/2-bedroom--makeni--k7000/
house,K9000,4,,Lusaka | meanwood ndeke,https://sakilahomes.com/post/2269/4-bedroom--meanwood-ndeke--k9000/
Flat,K7500,3,,Lusaka | meanwood mutumbi,https://sakilahomes.com/post/2270/3-bedroom--meanwood-mutumbi-k7500/
house,K6000,1,,Lusaka | meanwood,https://sakilahomes.com/post/2271/1-bedroom--ibex-meanwood--k6000/
Flat,K8500,3,,Lusaka | chalala,https://sakilahomes.com/post/2272/3-bedroom--chalala--k8500/
Flat,K4000,2,,Lusaka | lilayi,https://sakilahomes.com/post/2273/2-bedroom--lilayi--k4000/
house,K7500,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2274/2-bedroom--ibex-hill--k7500/
Flat,K7000,2,,Lusaka | chalala,https://sakilahomes.com/post/2275/2-bedroom--chalala--k7000/
Flat,K7000,2,,Lusaka | meanwood,https://sakilahomes.com/post/2276/2-bedroom--meanwood-ibex--k7000/
house,K7000,2,,Lusaka | makeni,https://sakilahomes.com/post/2277/2-bedroom--makeni--k7000/
Flat,K7500,3,,Lusaka | chainama,https://sakilahomes.com/post/2278/3-bedroom--chainama--k7500/
Flat,K6500,2,,Lusaka | new kasama,https://sakilahomes.com/post/2279/2-bedroom--new-kasama--k6500/
Flat,K7000,1,,Lusaka | ibex hill,https://sakilahomes.com/post/2280/1-bedroom-ibexhill-k7000/
Flat,K10000,3,,Lusaka | woodlands,https://sakilahomes.com/post/2214/3-bedroom--woodlands--k10000/
Flat,K7000,3,,Lusaka | makeni,https://sakilahomes.com/post/2215/3-bedroom--makeni--k7000/
Flat,K5000,1,,Lusaka | ibex hill,https://sakilahomes.com/post/2216/1-bedroom-ibex--k5000/
Flat,K4500,2,,Lusaka | chalala,https://sakilahomes.com/post/2217/2-bedroom--chalala--k4500/
house,K4000,2,,Lusaka | meanwood,https://sakilahomes.com/post/2218/2-bedroom--meanwood-vorna-valley--k4000/
bedsitter,K2500,1,,Lusaka | ibex hill,https://sakilahomes.com/post/2219/bedsitter--ibex--k2500/
inside_room,K1800,1,,Lusaka | chalala,https://sakilahomes.com/post/2220/inside-room--chalala--k1800/
Flat,K5500,2,,Lusaka | meanwood mutumbi,https://sakilahomes.com/post/2221/2-bedroom--meanwood-chamba-valley--k5500/
Flat,K6500,2,,Lusaka | libala-south,https://sakilahomes.com/post/2222/2-bedroom--libala-south--k6500/
Flat,K10000,2,,Lusaka | chamba valley,https://sakilahomes.com/post/2223/2-bedroom--chamba-valley--k10000/
Flat,K5500,2,,Lusaka | chalala,https://sakilahomes.com/post/2224/2-bedroom--chalala--k5500/
Flat,K8000,2,,Lusaka | chamba valley,https://sakilahomes.com/post/2225/2-bedroom--chamba-valley--k8000/
Flat,K6000,1,,Lusaka | meanwood,https://sakilahomes.com/post/2226/1-bedroom--ibex-meanwood--k6000/
house,K7500,3,,Lusaka | woodlands,https://sakilahomes.com/post/2227/3-bedroom--woodlands--k7500/
Flat,K4000,2,,Lusaka | chalala,https://sakilahomes.com/post/2228/2-bedroom--chalala--k4000/
Flat,K7000,3,,Lusaka | chalala,https://sakilahomes.com/post/2229/3-bedroom--chalala--k7000/
Flat,K5500,2,,Lusaka | chamba valley,https://sakilahomes.com/post/2164/2-bedroom--chamba-valley-k5500/
Flat,K7500,2,,Lusaka | lilayi,https://sakilahomes.com/post/2165/2-bedroom-lilayi--k7500/
Flat,K7000,3,,Lusaka | makeni,https://sakilahomes.com/post/2166/3-bedroom-makeni--k7000/
Flat,K5500,3,,Lusaka | chalala,https://sakilahomes.com/post/2167/2-bedroom--chalala--k5500/
house,K7500,2,,Lusaka | kabwata,https://sakilahomes.com/post/2168/2-bedroom--kabwata--k7500/
Flat,K5500,2,,Lusaka | makeni,https://sakilahomes.com/post/2169/2-bedroom--makeni--k5500/
Flat,K5500,2,,Lusaka | libala-south,https://sakilahomes.com/post/2170/2-bedroom--libala-south--k5500/
Flat,K10000,3,,Lusaka | ibex hill,https://sakilahomes.com/post/2171/3-bedroom--ibex-hill--k10000/
Flat,K4500,2,,Lusaka | meanwood ndeke,https://sakilahomes.com/post/2172/2-bedroom--meandwood-ndeke--k4500/
Flat,K5500,2,,Lusaka | chalala,https://sakilahomes.com/post/2173/2-bedroom--chalala--k5500/
house,K8000,2,,Lusaka | salama park,https://sakilahomes.com/post/2174/2-bedroom--salama-park--k8000/
Flat,K6500,2,,Lusaka | makeni,https://sakilahomes.com/post/2175/2-bedroom--makeni--k6500/
Flat,K7000,3,,Lusaka | makeni,https://sakilahomes.com/post/2176/3-bedroom--chalala---k7000/
Flat,K6000,2,,Lusaka | chalala,https://sakilahomes.com/post/2177/2-bedroom--chalala--k6000/
Flat,K8500,2,,Lusaka | makeni,https://sakilahomes.com/post/2178/2-bedroom--makeni--k8500/
house,K7750,2,,Lusaka | makeni,https://sakilahomes.com/post/2179/2-bedroom--makeni--k7750/
Flat,K9500,3,,Lusaka | chalala,https://sakilahomes.com/post/2114/3-bedroom--chalala--k9500/
bedsitter,K3500,1,,Lusaka | woodlands,https://sakilahomes.com/post/2115/bedsitter--woodlands--k3500/
Flat,K5000,2,,Lusaka | silverest,https://sakilahomes.com/post/2116/2-bedroom--silverest--k5000/
Flat,K7000,2,,Lusaka | lilayi,https://sakilahomes.com/post/2117/2-bedroom--lilayi--k7000/
Flat,K9000,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2118/2-bedroom--ibex--k9000/
Flat,K8050,3,,Lusaka | chamba valley,https://sakilahomes.com/post/2119/3-bedroom--chamba-valley--k8050/
Flat,K6000,2,,Lusaka | waterfall,https://sakilahomes.com/post/2120/2-bedroom--waterfalls--k6000/
Flat,K9000,3,,Lusaka | makeni,https://sakilahomes.com/post/2121/3-bedroom--makeni--k9000/
house,K5000,3,,Lusaka | chilenje,https://sakilahomes.com/post/2122/3-bedroom-chilenje--k5000/
Flat,K6000,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2123/2-bedroom--ibex-hill--k6000/
Flat,K7500,3,,Lusaka | makeni,https://sakilahomes.com/post/2124/3-bedroom--makeni--k7500/
bedsitter,K2000,1,,Lusaka | chalala,https://sakilahomes.com/post/2125/bedsitter--chalala--k2000/
Flat,K4000,1,,Lusaka | makeni,https://sakilahomes.com/post/2126/1-bedroom--makeni--k4000/
Flat,K5000,1,,Lusaka | lilayi,https://sakilahomes.com/post/2127/1-bedroom--lilayi--k5000/
Flat,K10000,3,,Lusaka | chalala,https://sakilahomes.com/post/2128/3-bedroom--chalala--k10000/
Flat,K4800,2,,Lusaka | chalala,https://sakilahomes.com/post/2129/2-bedroom--chalala--k4800/
Flat,K6000,2,,Lusaka | kabulonga,https://sakilahomes.com/post/2064/2-bedroom--kabulonga---k6000/
house,K8000,2,,Lusaka | lilayi,https://sakilahomes.com/post/2065/2-bedroom--lilayi--k8000/
Flat,K8500,2,,Lusaka | olympia,https://sakilahomes.com/post/2066/2-bedroom--olympia--k8500/
Flat,K7000,3,,Lusaka | Cheston,https://sakilahomes.com/post/2067/3-bedroom--chelstone--k7000/
Flat,K4500,1,,Lusaka | Cheston,https://sakilahomes.com/post/2068/1-bedroom--chelston--k4500/
Flat,K6000,2,,Lusaka | waterfall,https://sakilahomes.com/post/2069/2-bedroom--waterfalls--k6000/
house,K7000,1,,Lusaka | meanwood,https://sakilahomes.com/post/2070/1-bedroom--ibex-meanwood--k7000/
Flat,K5500,1,,Lusaka | makeni,https://sakilahomes.com/post/2071/1-bedroom--makeni--k5500/
Flat,K5000,2,,Lusaka | chalala,https://sakilahomes.com/post/2072/2-bedroom--chalala--k5000/
